Date,DHW Demand(GWh),Heating Demand(GWh),Heating COP, DHW COP, Temperature (C)
2014-09-05,216.0,0.11658776942386131,4.841436166613629,2.3846898577429365,16.359333492166986
2014-09-06,216.0,1.9074804151643419,4.826348372103249,2.373116048596706,15.563412024996854
2014-09-07,216.0,8.513243197415997,4.805568928141934,2.3481064691934006,13.882094763348931
2014-09-08,216.0,12.70215115282079,4.793093813790367,2.3414829039166585,13.414175202261935
2014-09-09,216.0,1.9743363423519815,4.835837705262581,2.34985796797384,14.080474537994213
2014-09-10,216.0,0.13207789811257808,4.842042407484437,2.3541364704860945,14.4113240786958
2014-09-11,216.0,0.009720374564672824,4.842208278072738,2.347524615819154,13.932438276930894
2014-09-12,216.0,0.0,4.841918914350264,2.359144133966954,14.720411388136487
2014-09-13,216.0,0.0,4.842475304695104,2.357925776662746,14.659022475969184
2014-09-14,216.0,0.11522384317042006,4.8390825764252865,2.353580084028352,14.332844765734
2014-09-15,216.0,0.6898597814512775,4.841755494666974,2.362308268412737,14.946962818336061
2014-09-16,216.0,0.14437040362323003,4.842431781237892,2.374868666529975,15.748213953622377
2014-09-17,216.0,0.06998039033890555,4.8422989820071045,2.3740902005971836,15.679408732923608
2014-09-18,216.0,0.01324878039182599,4.842489634963696,2.3912107948426526,16.743496858509115
2014-09-19,216.0,0.008835279517490881,4.842480376259642,2.3878932755775124,16.529257842403055
2014-09-20,216.0,0.21215225899594126,4.839382123117875,2.3695994828502216,15.371436140088406
2014-09-21,216.0,8.339078549443995,4.773565285384951,2.3320851699382734,12.740555197247302
2014-09-22,216.0,19.43325199867106,4.765766831496896,2.324869233226995,12.205773836170284
2014-09-23,216.0,36.855679095050256,4.770299453509196,2.3252332026873064,12.2370156293769
2014-09-24,216.0,35.15686717675675,4.7875258922388895,2.329897655020564,12.594464753351412
2014-09-25,216.0,11.44817826909856,4.84167399873452,2.3393633360495354,13.355319804769257
2014-09-26,216.0,9.275066341070332,4.832729497915925,2.3621468946990976,14.891516693309004
2014-09-27,216.0,19.778409794351315,4.798466923044621,2.350608756810227,14.052051058816282
2014-09-28,216.0,6.634575104205956,4.842191584492598,2.3744827023310093,15.724027465638075
2014-09-29,216.0,1.646656533373946,4.841793286198244,2.3655257751496537,15.167940228237773
2014-09-30,216.0,0.20509676274502142,4.842461922155499,2.3603102066442787,14.833116120358657
2014-10-01,216.0,5.775913117381691,4.825905358782472,2.3587557475043424,14.654213691714068
2014-10-02,216.0,46.78274674111934,4.726564957331188,2.338847370014676,13.12033970029782
2014-10-03,216.0,34.675319535766924,4.827588487388479,2.352059316571817,14.243284935797133
2014-10-04,216.0,119.65993932045134,4.668722793093933,2.3174510813552747,11.501455757324855
2014-10-05,216.0,279.29638249492126,4.426961387294482,2.2971371837825463,9.635129629004762
2014-10-06,216.0,422.77214621623637,4.527178368009676,2.304823330413853,10.377128770561505
2014-10-07,216.0,541.3693501685284,4.34214504720834,2.2917745860845735,8.988784956470578
2014-10-08,216.0,430.57389479814594,4.593122066200066,2.312234270111059,10.990711750027515
2014-10-09,216.0,309.7925717950143,4.671564369713671,2.320327927893748,11.729617633138888
2014-10-10,216.0,249.23420321509047,4.620601131905065,2.3130651727573963,11.11902168295345
2014-10-11,216.0,303.3091697917284,4.526438343286276,2.3052225940205076,10.37599021950904
2014-10-12,216.0,418.40291699466843,4.427479790301148,2.2974140428189935,9.631681752766477
2014-10-13,216.0,402.3856551293544,4.594920997595535,2.3137156955160982,11.100920002311664
2014-10-14,216.0,364.740143379623,4.608130554256048,2.311019622870559,10.921864136254175
2014-10-15,216.0,297.3511260599002,4.640580409826139,2.313953567283317,11.212865694850704
2014-10-16,216.0,180.31723231646066,4.7531514789471005,2.3264443491184976,12.296490081269427
2014-10-17,216.0,56.11463214395155,4.831131664555696,2.348236669470031,13.972941458379967
2014-10-18,216.0,10.410537592387247,4.842414462534387,2.3757599255872086,15.819963445005307
2014-10-19,216.0,21.440808029609762,4.83017431729282,2.3526239496263694,14.266372334523393
2014-10-20,216.0,89.7990157930926,4.71907905608705,2.3207239229257226,11.838827595804638
2014-10-21,216.0,364.4188939753826,4.4745070350692036,2.3004390652398605,9.957629956200742
2014-10-22,216.0,557.1044527036133,4.365821175865123,2.292611032012568,9.170336031772488
2014-10-23,216.0,367.67757192795204,4.763247959847263,2.3239773423619994,12.140054343725522
2014-10-24,216.0,256.13039727330886,4.683542090545822,2.322241997278126,11.873623682556888
2014-10-25,216.0,348.36151221662436,4.487815488890429,2.301198821671896,10.072435447321764
2014-10-26,216.0,324.41983515858743,4.7042748467335995,2.3183008274484047,11.66047179094101
2014-10-27,216.0,139.08377542600007,4.840398639079394,2.339250974637969,13.345453535155874
2014-10-28,216.0,88.2362954840957,4.78065951485249,2.333653569604351,12.855534610435091
2014-10-29,216.0,321.412389768776,4.435379988532941,2.3017245519196456,9.772690967223213
2014-10-30,216.0,184.3860219258437,4.794787962685729,2.3412258323677797,13.415820611810947
2014-10-31,216.0,71.85282729992032,4.842193340319361,2.35520355305699,14.486060034985915
2014-11-01,216.0,68.58440655404591,4.792036832908506,2.3325885650431544,12.797026217451881
2014-11-02,216.0,178.0171665519129,4.675147643117973,2.317540885945968,11.51794263497716
2014-11-03,216.0,563.4928288244893,4.218857045801328,2.283391797887816,8.053505131410793
2014-11-04,216.0,870.483335466442,4.01137811275173,2.27174348870479,6.444041579325694
2014-11-05,216.0,1103.0552452360182,3.9120198745764645,2.2669547425885765,5.642009042221618
2014-11-06,216.0,1142.328994258899,4.026209997778154,2.272939631645793,6.54806389791034
2014-11-07,216.0,854.1919926524864,4.43719347347875,2.2974372213913656,9.681471966297657
2014-11-08,216.0,788.0754025213987,4.296987813856241,2.2884473979587225,8.636281745217092
2014-11-09,216.0,817.4075894087189,4.135420790205397,2.2783653805812625,7.419640407865939
2014-11-10,216.0,817.4213763391924,4.245177679539756,2.2853048872354913,8.245287494331741
2014-11-11,216.0,691.6147355278441,4.468068368006639,2.2995846799686404,9.90477256192761
2014-11-12,216.0,608.1944267932713,4.450153866755854,2.298243806659206,9.779832828096353
2014-11-13,216.0,570.0804817625364,4.501019767092064,2.3020459473095665,10.149433149347491
2014-11-14,216.0,566.3371491253016,4.458459918880397,2.298998345842334,9.841160482165822
2014-11-15,216.0,746.482644680581,4.171530206202745,2.2805015583994304,7.696404057481526
2014-11-16,216.0,830.8186210566839,4.187857240857732,2.2813316397912633,7.825306816926808
2014-11-17,216.0,882.5593911222873,4.18624100607435,2.2809643436821974,7.823836313455567
2014-11-18,216.0,839.7264670791526,4.215439920685205,2.282695971841791,8.046560333180432
2014-11-19,216.0,842.3372904390749,4.199883445824265,2.281892748478025,7.923361245337422
2014-11-20,216.0,889.3739876151099,4.1310232434904774,2.278121923943778,7.385619161289651
2014-11-21,216.0,978.6575679368237,4.105795151666881,2.276774902171046,7.188861798255185
2014-11-22,216.0,712.2562805407523,4.494518078483852,2.301948744642238,10.084007740463239
2014-11-23,216.0,914.4605315936049,4.034098309797875,2.272945366478745,6.623168438828953
2014-11-24,216.0,1247.6178982452952,3.718273842598802,2.259311681649524,4.010271160007049
2014-11-25,216.0,1429.3550089480336,3.768152421290898,2.2613097767835715,4.429133141566113
2014-11-26,216.0,1256.8090151582905,4.027811722494458,2.272739451933541,6.56853914760294
2014-11-27,216.0,1064.0818132673517,4.119435152523388,2.2778661381433536,7.279705999499731
